,Unnamed: 0,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Horsepower,Displacement_L,Cylinder_Type,seat_numbers
482,482,Honda,Accord EX-L,2009,167300,Gasoline,190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$6,250",190.0,2.4,I4,5.0
483,483,Rolls-Royce,Cullinan,2022,115,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,Automatic,–,Grace White,None reported,Yes,"$449,995",563.0,6.7,V12,5.0
484,484,Cadillac,Escalade Premium,2015,71000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,"$35,999",420.0,6.2,V8,7.0
485,485,Acura,RDX Technology Package,2020,31015,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Silver,Ebony,None reported,Yes,"$36,570",272.0,2.0,I4,5.0
486,486,BMW,X2 xDrive28i,2022,33000,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Orange,Black,None reported,Yes,"$29,999",228.0,2.0,I4,5.0
487,487,Chrysler,Pacifica Touring,2017,63000,not defined,–,Automatic,White,Beige,None reported,Yes,"$20,000",287.0,3.6,V6,7.0
488,488,Buick,Verano Convenience,2013,68325,E85 Flex Fuel,180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,Dual Shift,Silver,Gray,None reported,Yes,"$11,995",180.0,2.4,I4,5.0
489,489,Mercedes-Benz,AMG S 63 Base 4MATIC,2020,20937,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Magnetite Black Metallic,Black,None reported,No,"$104,900",603.0,4.0,V8,4.0
490,490,RAM,2500 Tradesman,2021,34365,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,"$48,000",410.0,6.4,V8,5.0
491,491,Mercedes-Benz,Metris Base,2018,32000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,None reported,Yes,"$44,900",208.0,2.0,I4,5.0
492,492,Land,Rover Range Rover Evoque S,2020,40237,Gasoline,2.0 Liter,Automatic,Carpathian Grey Premium Metallic,Cloud,None reported,No,"$36,998",246.0,2.0,I4,5.0
493,493,Volvo,XC90 T6 Inscription,2020,22500,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,White,None reported,Yes,"$50,000",316.0,2.0,I4,7.0
494,494,Ford,Expedition King Ranch,2020,58700,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,"$48,999",375.0,3.5,V6,8.0
495,495,Toyota,Highlander Hybrid Limited,2006,264893,Hybrid,208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Gold,Beige,At least 1 accident or damage reported,Yes,"$5,000",208.0,3.3,V6,7.0
496,496,Toyota,Tundra SR5 Access Cab,2005,209500,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,"$8,500",282.0,4.7,V8,5.0
497,497,Ford,Transit-350 Base,2023,195,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,"$87,500",310.0,3.5,V6,12.0
498,498,Chevrolet,Express 3500 LT,2016,120000,Diesel,260.0HP 6.6L 8 Cylinder Engine Diesel Fuel,Automatic,White,Gray,None reported,Yes,"$19,500",260.0,6.6,V8,12.0
499,499,Chevrolet,Bolt EUV Premier,2022,14676,not defined,200.0HP Electric Motor Electric Fuel System,Automatic,Black,Blue,None reported,Yes,"$33,000",200.0,0.0,Electric,5.0
500,500,Jeep,Wrangler Unlimited 4xe Sahara,2021,33704,Hybrid,2.0L I4 16V GDI DOHC Turbo Hybrid,Automatic,Bright White Clearcoat,Black,None reported,No,"$42,998",375.0,2.0,I4,5.0
501,501,BMW,X7 xDrive40i,2023,2950,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,Brown,None reported,Yes,"$87,000",375.0,3.0,I6,7.0
502,502,Mercedes-Benz,AMG GT 53 Base,2021,17994,Gasoline,3.0L I6 24V GDI DOHC Turbo,Automatic,–,–,None reported,Yes,"$87,500",429.0,3.0,I6,4.0
503,503,Toyota,Tundra Limited,2020,44101,Gasoline,5.7L V8 32V MPFI DOHC,Automatic,Gray,Black,None reported,Yes,"$45,423",381.0,5.7,V8,5.0
504,504,BMW,X1 xDrive28i,2021,25918,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Black,None reported,Yes,"$32,000",228.0,2.0,I4,5.0
505,505,BMW,135 i,2008,87000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$15,300",300.0,3.0,Straight 6,4.0
506,506,Mazda,Mazda3 Touring,2018,28333,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Blue,Black,None reported,Yes,"$20,500",184.0,2.5,I4,5.0
507,507,Audi,A7 3.0T Premium Plus,2018,29294,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$39,999",340.0,3.0,V6,5.0
508,508,Saturn,Sky Red Line,2008,37000,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,"$14,995",260.0,2.0,I4,2.0
509,509,BMW,Z4 2.5i Roadster,2005,138000,Gasoline,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$9,950",184.0,2.5,Straight 6,2.0
510,510,Volvo,XC90 Hybrid T8 Inscription,2020,44487,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Automatic,Blue,Brown,None reported,Yes,"$65,000",400.0,2.0,I4,7.0
511,511,Acura,TLX A-Spec,2021,16878,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Red,Ebony,None reported,Yes,"$38,781",272.0,2.0,I4,5.0
512,512,Chevrolet,Tahoe High Country,2021,53000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$67,100",420.0,6.2,V8,7.0
513,513,Tesla,Model Y Long Range,2021,61308,not defined,425.0HP Electric Motor Electric Fuel System,Automatic,White,White,None reported,Yes,"$42,000",425.0,0.0,Electric,5.0
514,514,Mercedes-Benz,GLK-Class GLK 350,2013,99200,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,not defined,No,"$11,495",302.0,3.5,V6,5.0
515,515,Chevrolet,Traverse LS,2022,32117,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Northsky Blue Metallic,Jet Black,None reported,No,"$33,299",310.0,3.6,V6,7.0
516,516,BMW,550 Gran Turismo i,2013,79341,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Gold,Brown,None reported,Yes,"$16,800",445.0,4.4,V8,5.0
517,517,Land,Rover Range Rover Sport HSE,2007,220000,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$5,750",300.0,4.4,V8,5.0
518,518,BMW,430 i xDrive,2021,16900,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,None reported,Yes,"$43,000",255.0,2.0,I4,5.0
519,519,Porsche,Cayman Base,2007,75137,Gasoline,245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Manual,Black,Gray,At least 1 accident or damage reported,Yes,"$24,999",245.0,2.7,Flat 6,2.0
520,520,Ford,Expedition Max King Ranch,2021,37594,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Black,Mesa,None reported,Yes,"$62,595",400.0,3.5,V6,8.0
521,521,Rivian,R1S Adventure Package,2023,250,not defined,835.0HP Electric Motor Electric Fuel System,Automatic,Red,Black,not defined,No,"$94,000",835.0,0.0,Electric,7.0
522,522,Mercedes-Benz,GLC 300 GLC 300,2021,12771,Gasoline,2.0 Liter Turbo,Automatic,Black,–,None reported,No,"$42,598",255.0,2.0,I4,5.0
523,523,Ford,Mustang Shelby GT500,2012,6400,Gasoline,550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,Manual,Silver,Black,None reported,Yes,"$48,000",550.0,5.4,V8,2.0
524,524,Tesla,Model Y Long Range,2021,69548,not defined,425.0HP Electric Motor Electric Fuel System,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$36,300",425.0,0.0,Electric,5.0
525,525,Nissan,370Z Base,2009,79893,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$15,900",332.0,3.7,V6,2.0
526,526,Toyota,Sequoia Platinum,2014,124838,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,Yes,"$33,000",381.0,5.7,V8,8.0
527,527,Nissan,NV Passenger NV3500 HD SL V8,2020,14353,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,Yes,"$63,900",375.0,5.6,V8,12.0
528,528,Ford,Transit Connect XL w/Rear Symmetrical Doors,2022,22985,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,"$33,500",169.0,2.5,I4,5.0
529,529,INFINITI,QX80 Base,2014,161894,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$18,900",400.0,5.6,V8,8.0
530,530,Aston,Martin V8 Vantage Base,2008,25025,Gasoline,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$39,000",380.0,4.3,V8,2.0
531,531,Lotus,Evora 400 Base,2017,19650,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Manual,Silver,Red,None reported,Yes,"$69,250",400.0,3.5,V6,2.0
532,532,Land,Rover Range Rover Velar P250 S R-Dynamic,2020,29500,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,White,None reported,Yes,"$45,000",247.0,2.0,I4,5.0
533,533,Nissan,Xterra S,2007,132272,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Manual,Gray,Gray,At least 1 accident or damage reported,Yes,"$6,700",261.0,4.0,V6,5.0
534,534,Dodge,Charger R/T,2012,122000,Gasoline,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$13,500",370.0,5.7,V8,5.0
535,535,Buick,Encore GX Essence,2022,18185,Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic,Summit White,Whisper Beige,None reported,No,"$31,755",155.0,1.3,I3,5.0
536,536,Nissan,Leaf S,2018,56450,not defined,147.0HP Electric Motor Electric Fuel System,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$13,999",147.0,0.0,Electric,5.0
537,537,Nissan,Leaf SL,2012,102000,not defined,107.0HP Electric Motor Electric Fuel System,Automatic,Silver,Gray,None reported,Yes,"$4,200",107.0,0.0,Electric,5.0
538,538,Jeep,Grand Wagoneer Series III,2022,18428,Gasoline,6.4 Liter,Automatic,Baltic Gray,Black,None reported,No,"$83,998",471.0,6.4,V8,7.0
539,539,Nissan,Z Proto Spec,2023,535,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Manual,Yellow,Black,None reported,Yes,"$65,990",400.0,3.0,V6,2.0
540,540,Land,Rover Range Rover Sport HSE,2013,81648,Gasoline,"5L V-8 gasoline direct injection, DOHC, variable valve control,",Dual Shift,Fuji White,–,None reported,No,"$15,900",300.0,5.0,V8,5.0
541,541,Porsche,Boxster S,2003,138202,Gasoline,3.2L H6 24V MPFI DOHC,Manual,Silver,Black,At least 1 accident or damage reported,Yes,"$22,550",280.0,3.2,H6,2.0
542,542,Bentley,Continental GT Base,2004,69600,Gasoline,550.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$37,900",550.0,6.0,V12,2.0
543,543,Jaguar,F-TYPE R,2018,39900,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$53,600",550.0,5.0,V8,2.0
544,544,Cadillac,Escalade ESV Sport,2021,36500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Dual Shift,White,Black,None reported,Yes,"$85,000",420.0,6.2,V8,7.0
545,545,Audi,TT 2.0T,2018,42650,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Black,None reported,Yes,"$31,990",220.0,2.0,I4,2.0
546,546,Jeep,Wrangler Unlimited Sahara,2020,68816,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Black Clearcoat,Black,None reported,Yes,"$35,297",285.0,2.0,I4,5.0
547,547,Audi,S6 4.0T,2016,91188,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$29,995",450.0,4.0,V8,5.0
548,548,GMC,Sierra 2500 SLE,2015,116210,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,Dual Shift,Black,Beige,None reported,Yes,"$31,900",360.0,6.0,V8,5.0
549,549,Tesla,Model 3 Long Range,2022,3077,not defined,Dual Motor - Standard,Automatic,Silver,Black,None reported,No,"$44,998",346.0,0.0,Electric,5.0
550,550,Mazda,CX-90 Premium,2024,3880,Gasoline,2.5L,Automatic,Machine Gray Metallic,Black,None reported,Yes,"$52,991",187.0,2.5,I4,5.0
551,551,Ford,C-Max Energi SE,2017,67482,Plug-In Hybrid,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,"$11,499",188.0,2.0,I4,5.0
552,552,Cadillac,Escalade ESV Platinum,2018,67726,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$52,000",420.0,6.2,V8,7.0
553,553,Audi,TT 3.2 Cabriolet quattro,2008,207000,Gasoline,250.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,Manual,Black,Black,At least 1 accident or damage reported,Yes,"$10,500",250.0,3.2,V6,2.0
554,554,Hyundai,Santa Fe SE,2021,35550,Gasoline,2.5L I4 16V PDI DOHC,Automatic,Twilight Black,Black,At least 1 accident or damage reported,Yes,"$25,987",191.0,2.5,I4,5.0
555,555,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2016,44000,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$46,599",577.0,5.5,V8,5.0
556,556,Mercedes-Benz,SL-Class SL 550,2015,11249,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$54,500",429.0,4.7,V8,2.0
557,557,Acura,MDX 3.5L Technology Package,2014,111650,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Beige,At least 1 accident or damage reported,Yes,"$17,500",290.0,3.5,V6,7.0
558,558,RAM,2500 Laramie,2019,18526,Diesel,6.7L I6 24V DDI OHV Turbo Diesel,Automatic,Pearl White,Black,None reported,No,"$67,999",370.0,6.7,I6,5.0
559,559,Audi,A7 Premium,2012,103272,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,None reported,Yes,"$15,500",310.0,3.0,V6,5.0
560,560,BMW,M2 Base,2023,1160,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,None reported,Yes,"$73,600",453.0,3.0,I6,4.0
561,561,RAM,1500 Laramie,2019,107714,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Diamond Black,Black,None reported,Yes,"$34,918",395.0,5.7,V8,5.0
562,562,Audi,Q5 2.0T Premium Plus,2013,111773,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Brown,Beige,None reported,Yes,"$17,000",211.0,2.0,I4,5.0
563,563,Cadillac,XTS Luxury,2019,54002,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,"$22,500",304.0,3.6,V6,5.0
564,564,Volkswagen,Jetta 1.4T SE,2016,87000,Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Gray,At least 1 accident or damage reported,Yes,"$13,000",150.0,1.4,I4,5.0
565,565,Ford,Focus RS Base,2016,49700,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Manual,Blue,Black,None reported,Yes,"$31,700",350.0,2.3,I4,4.0
566,566,Mercedes-Benz,AMG C 63 S,2017,34500,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$64,600",503.0,4.0,V8,4.0
567,567,Ford,Bronco Sport Big Bend,2021,31729,Gasoline,1.5L I3 12V PDI DOHC Turbo,Automatic,Maroon,Medium Dark Slate,At least 1 accident or damage reported,Yes,"$29,614",181.0,1.5,I3,5.0
568,568,Jeep,Gladiator Overland,2021,7388,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Firecracker Red Clearcoat,Black,None reported,Yes,"$43,663",285.0,3.6,V6,5.0
569,569,BMW,330e iPerformance,2017,41550,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Dual Shift,Silver,Black,None reported,Yes,"$20,995",247.0,2.0,I4,5.0
570,570,Mercedes-Benz,GLC 300 Base 4MATIC,2018,44486,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Gray,Black,None reported,No,"$25,625",255.0,2.0,I4,5.0
571,571,Acura,MDX 3.7L Advance,2013,20750,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$33,000",300.0,3.7,V6,7.0
572,572,Genesis,G70 3.3T,2022,12000,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Beige,None reported,Yes,"$41,000",365.0,3.3,V6,5.0
573,573,Lexus,LX 570 Three-Row,2021,14206,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$98,000",383.0,5.7,V8,8.0
574,574,Jeep,Grand Cherokee L Limited,2022,31700,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$43,500",293.0,3.6,V6,7.0
575,575,Hyundai,IONIQ Plug-In Hybrid SEL,2022,13044,Plug-In Hybrid,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,"$24,999",139.0,1.6,I4,5.0
576,576,Kia,Sportage LX,2009,100730,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Gold,Gold,None reported,Yes,"$6,975",173.0,2.7,V6,5.0
577,577,BMW,X5 PHEV xDrive45e,2023,5338,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,Automatic,Blue,White,None reported,Yes,"$76,500",389.0,3.0,I6,5.0
578,578,Ford,Expedition EL XLT,2014,85149,Gasoline,5.4 Liter,Automatic,Oxford White,Camel Leather,None reported,No,"$23,598",310.0,5.4,V8,8.0
579,579,BMW,X6 M Base,2018,48291,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Brown,None reported,Yes,"$67,250",567.0,4.4,V8,4.0
580,580,Volkswagen,Eurovan MV,2001,111887,Gasoline,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,"$14,000",140.0,2.8,V6,7.0
581,581,Rolls-Royce,Ghost Base,2010,79000,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$69,000",563.0,6.6,V12,5.0
582,582,Lincoln,Navigator Reserve,2016,125000,Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Beige,None reported,Yes,"$26,500",380.0,3.5,V6,8.0
583,583,Mercedes-Benz,GLA 250 Base 4MATIC,2022,13777,Gasoline,221.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$39,777",221.0,2.0,I4,5.0
584,584,RAM,1500 Big Horn,2022,14920,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Black,None reported,Yes,"$41,741",395.0,3.6,V6,5.0
585,585,Jeep,Grand Cherokee L Summit,2022,14627,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Tupelo,None reported,No,"$56,740",290.0,3.6,V6,7.0
586,586,Volvo,S80 3.2,2010,90050,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Brown,Beige,None reported,Yes,"$5,800",235.0,3.2,Straight 6,5.0
587,587,Subaru,BRZ Premium,2014,45000,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Blue,Black,At least 1 accident or damage reported,Yes,"$25,000",200.0,2.0,I4,2.0
588,588,Chevrolet,Corvette Base,1998,7666,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,Yes,"$39,500",340.0,5.7,V8,2.0
589,589,Hummer,H2 SUT,2006,89900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Beige,None reported,Yes,"$29,994",325.0,6.0,V8,5.0
590,590,Audi,RS 7 4.0T,2021,14724,Hybrid,4.0 Liter TFSI,Automatic,Glacier White,Black/Red,None reported,No,"$101,998",591.0,4.0,V8,4.0
591,591,Ford,Edge Sport,2011,132000,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,At least 1 accident or damage reported,Yes,"$10,999",305.0,3.7,V6,5.0
592,592,GMC,Terrain SLT,2010,32652,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Brown,None reported,Yes,"$6,500",182.0,2.4,I4,5.0
593,593,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2018,36632,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Blue,not defined,No,"$72,567",518.0,5.0,V8,5.0
594,594,Jeep,Grand Cherokee WK Laredo X,2022,11164,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$37,500",293.0,3.6,V6,5.0
595,595,BMW,M4 Base,2020,22655,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,"$63,999",425.0,3.0,I6,2.0
596,596,Mercedes-Benz,AMG GT 63 S 4-Door,2019,9500,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Gray,None reported,Yes,"$135,000",630.0,4.0,V8,4.0
597,597,Chevrolet,Camaro 1LT,2021,10300,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,Yes,"$29,900",335.0,3.6,V6,4.0
598,598,BMW,X6 M Base,2018,48000,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,"$54,000",567.0,4.4,V8,4.0
599,599,Mercedes-Benz,CLK-Class 550,2007,138000,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,"$10,000",382.0,5.5,V8,4.0
600,600,RAM,1500 TRX,2022,24058,Gasoline,"HEMI 6.2L V-8 intercooled supercharger, premium unleaded, engine",Automatic,Flame Red Clearcoat,BLACK,None reported,No,"$81,900",702.0,6.2,V8,5.0
601,601,Audi,RS 7 4.0T Prestige,2016,31500,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$67,000",560.0,4.0,V8,5.0
602,602,Porsche,Macan S,2020,19701,Gasoline,3.0 Liter,Automatic,–,–,None reported,No,"$55,998",348.0,3.0,V6,5.0
603,603,Genesis,GV70 3.5T Sport,2022,10200,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$50,500",375.0,3.5,V6,5.0
604,604,Aston,Martin V8 Vantage Base,2008,62378,Gasoline,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,Manual,Red,Beige,At least 1 accident or damage reported,Yes,"$33,995",380.0,4.3,V8,2.0
605,605,Nissan,350Z Touring,2006,84200,Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Manual,Silver,Gray,None reported,Yes,"$10,200",300.0,3.5,V6,2.0
606,606,Toyota,Sequoia SR5,2013,138700,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,Automatic,White,Gray,At least 1 accident or damage reported,Yes,"$18,800",381.0,5.7,V8,8.0
607,607,Chevrolet,Tahoe Premier,2021,41050,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,None reported,Yes,"$62,900",355.0,5.3,V8,8.0
608,608,Jeep,Compass Limited,2020,39192,Gasoline,2.4L I4 16V MPFI SOHC,Automatic,White Clearcoat,Black,None reported,No,"$24,590",180.0,2.4,I4,5.0
609,609,BMW,430 430i,2022,7758,Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,No,"$47,998",248.0,2.0,I4,4.0
610,610,Ford,Bronco Sport Outer Banks,2021,31654,Gasoline,1.5L I3 12V PDI DOHC Turbo,Automatic,Rapid Red Metallic Tinted Clearcoat,Navy Pier,None reported,No,"$33,410",181.0,1.5,I3,5.0
611,611,Mercedes-Benz,AMG C 63 Base,2017,63000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$42,000",469.0,4.0,V8,5.0
612,612,Volvo,S40 T5,2005,257700,Gasoline,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Manual,Red,Beige,None reported,Yes,"$3,550",218.0,2.5,I5,5.0
613,613,Mercedes-Benz,GLE 350 Base 4MATIC,2017,57000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$29,500",302.0,3.5,V6,5.0
614,614,Chevrolet,Silverado 1500 1LT,2017,89000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,None reported,Yes,"$29,999",355.0,5.3,V8,5.0
615,615,Chevrolet,Tahoe LTZ,2015,134500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$28,000",355.0,5.3,V8,7.0
616,616,Acura,MDX Technology,2022,15895,Gasoline,3.5L V6 24V GDI SOHC,Automatic,Majestic Black Pearl,Parchment,None reported,No,"$47,950",290.0,3.5,V6,7.0
