,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Horsepower,Displacement_L,Cylinder_Type
962,Toyota,Highlander XLE,2018,61454,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,None reported,Yes,"$31,000",295.0,3.5,V6
963,BMW,X7 xDrive40i,2020,45241,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Brown,None reported,Yes,"$54,500",335.0,3.0,I6
964,INFINITI,QX60 Base,2018,48000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$27,000",295.0,3.5,V6
965,Lexus,IS 250C Base,2010,68500,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,Manual,Black,Beige,None reported,Yes,"$18,500",204.0,2.5,V6
966,GMC,Sierra 1500 Denali,2019,43433,Gasoline,5.3L V8 16V GDI OHV,Automatic,Onyx Black,Walnut,None reported,No,"$51,899",355.0,5.3,V8
967,Chevrolet,SSR Base,2005,122961,Gasoline,6.0L V8 16V MPFI OHV,Automatic,Redline Red,Ebony,None reported,Yes,"$20,995",390.0,6.0,V8
968,Dodge,Challenger R/T,2014,92861,Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Red,None reported,Yes,"$19,750",375.0,5.7,V8
969,Hyundai,Equus Signature,2016,72000,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$21,400",429.0,5.0,V8
970,Lamborghini,Aventador SVJ Base,2019,6929,Gasoline,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,"$649,999",759.0,6.5,V12
971,Ford,Mustang GT,2003,83000,Gasoline,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$10,500",260.0,4.6,V8
972,Audi,e-tron Premium,2021,18031,not defined,Electric,Automatic,Navarra Blue Metallic,Black,None reported,No,"$39,599",402.0,0.0,Electric
973,Toyota,Sequoia Limited,2023,8200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Brown,Black,None reported,Yes,"$78,900",437.0,3.4,V6
974,Land,Rover Range Rover Sport HST MHEV,2020,19000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Dual Shift,Silver,Black,not defined,No,"$74,900",395.0,3.0,I6
975,Jeep,Grand Cherokee L Limited,2022,12875,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Global Black,None reported,No,"$42,599",290.0,3.6,V6
976,Maserati,GranTurismo Sport,2015,32000,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Beige,Brown,None reported,Yes,"$36,000",454.0,4.7,V8
977,BMW,M5 Base,2013,61145,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,"$37,500",560.0,4.4,V8
978,Mercedes-Benz,C-Class 4MATIC Sedan,2022,9612,Gasoline,"2L I-4 gasoline direct injection, DOHC, variable valve control,",Automatic,–,–,None reported,No,"$43,900",255.0,2.0,I4
979,Land,Rover Range Rover Sport First Edition,2023,3534,Hybrid,4.4 Liter,Automatic,Red,Black,None reported,No,"$143,998",523.0,4.4,V8
980,Ford,F-150 Lariat,2011,152000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Brown,Beige,None reported,Yes,"$14,000",365.0,3.5,V6
981,Audi,A4 2.0T Premium,2012,129567,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$7,000",211.0,2.0,I4
982,BMW,540 i xDrive,2019,36000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,"$41,995",335.0,3.0,I4
983,BMW,X6 xDrive35i,2009,92008,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$12,500",300.0,3.0,I6
984,Ford,Mustang Base,1998,63900,Gasoline,150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,"$10,300",150.0,3.8,V6
985,Toyota,Sequoia Limited,2012,150900,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,Yes,"$17,500",381.0,5.7,V8
986,Dodge,Challenger R/T Scat Pack,2019,43000,not defined,–,Manual,Green,Black,None reported,Yes,"$50,000",485.0,6.4,V8
987,Land,Rover Range Rover 3.0L Supercharged,2018,38020,Gasoline,5.0 Liter,Automatic,White,Espresso,None reported,No,"$63,998",518.0,5.0,V8
988,Audi,Q8 55 Premium Plus,2021,14750,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Dual Shift,Silver,Black,None reported,Yes,"$61,059",335.0,3.0,V6
989,Subaru,WRX Base,2015,52500,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,None reported,Yes,"$23,000",268.0,2.0,I4
990,Chevrolet,Suburban LT,2017,207571,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$21,000",355.0,5.3,V8
991,INFINITI,QX60 Pure,2020,39000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,None reported,Yes,"$29,900",295.0,3.5,V6
992,Porsche,Cayman Base,2011,66000,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,not defined,No,"$28,000",265.0,2.9,Flat 6
993,INFINITI,QX60 Base,2017,93500,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$16,000",295.0,3.5,V6
994,BMW,M4 Base,2018,7200,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$64,000",425.0,3.0,I6
995,Maserati,MC20 MC20,2022,1220,Gasoline,"Nettuno 3L V-6 port/direct injection, DOHC, variable valve contr",Automatic,–,–,None reported,No,"$238,900",621.0,3.0,V6
996,Land,Rover Defender SE,2023,8421,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,White,None reported,Yes,"$90,000",395.0,3.0,I6
997,BMW,M8 Base,2020,25520,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,Brands Hatch Gray Metallic,Black,None reported,No,"$84,900",600.0,4.4,V8
998,Tesla,Model Y Performance,2020,30554,not defined,Electric,Automatic,Blue,Black,None reported,No,"$41,999",455.0,0.0,Electric
999,Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,17000,not defined,402.0HP Electric Motor Electric Fuel System,Automatic,Gray,Blue,None reported,Yes,"$54,900",402.0,0.0,Electric
1000,Mercedes-Benz,SL-Class SL 550,2011,41314,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Red,White,At least 1 accident or damage reported,Yes,"$30,999",382.0,5.5,V8
1001,Land,Rover Range Rover P525 HSE SWB,2020,49899,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Dual Shift,White,Black,At least 1 accident or damage reported,Yes,"$64,500",518.0,5.0,V8
1002,Ford,Escape XLT,2012,186268,E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,Automatic,Blue,Black,None reported,Yes,"$4,500",240.0,3.0,V6
1003,Lexus,ES 350 Base,2016,51335,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,"$25,995",268.0,3.5,V6
1004,Porsche,718 Boxster GTS,2019,10400,Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,"$99,750",365.0,2.5,I4
1005,Mercedes-Benz,G-Class G 550,2020,20622,Gasoline,4.0 Liter Twin Turbo,Automatic,designo Diamond White Metallic,Black,None reported,No,"$142,998",416.0,4.0,V8
1006,RAM,1500 Big Horn,2022,19376,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Bright White Clearcoat,Black,None reported,Yes,"$45,861",395.0,5.7,V8
1007,Audi,R8 5.2 V10 performance,2020,12245,Gasoline,5.2L V10 40V PDI DOHC,Automatic,Daytona Gray Pearl Effect w/ Black Roof,Black / Express Red,None reported,No,"$187,900",602.0,5.2,V10
1008,Mitsubishi,Lancer Evolution IX,2006,77000,Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Silver,Black,None reported,Yes,"$57,000",286.0,2.0,I4
1009,Acura,TL Technology,2013,40000,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,"$24,000",280.0,3.5,V6
1010,Cadillac,CTS Luxury,2012,113000,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$10,000",270.0,3.0,V6
1011,Chevrolet,Camaro 1SS,2022,7600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,At least 1 accident or damage reported,Yes,"$46,000",455.0,6.2,V8
1012,Toyota,Camry Hybrid LE,2022,20400,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Gray,None reported,Yes,"$29,900",208.0,2.5,I4
1013,Ford,Transit-350 XLT,2019,115000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,"$39,000",310.0,3.5,V6
1014,Lexus,RX 450h Base,2012,239000,Hybrid,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Black,Black,None reported,Yes,"$7,000",295.0,3.5,V6
1015,Jaguar,F-TYPE V6 S,2014,62194,Gasoline,3.0 Liter SC ULEV,Automatic,Black,Black,None reported,No,"$32,998",380.0,3.0,V6
1016,Jeep,Wrangler Sahara,2020,22138,Gasoline,3.6 Liter,Automatic,Black,Black,None reported,No,"$38,598",285.0,3.6,V6
1017,Porsche,718 Boxster S,2017,48900,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Dual Shift,Blue,Black,None reported,Yes,"$62,500",350.0,2.5,I4
1018,Audi,R8 5.2,2014,21800,Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Dual Shift,White,Black,None reported,Yes,"$117,000",525.0,5.2,V10
1019,Lincoln,MKZ Base,2016,68200,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,"$16,750",300.0,3.7,V6
1020,Chevrolet,S-10 LS Crew Cab,2001,139000,Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,None reported,Yes,"$7,000",190.0,4.3,V6
1021,Mercedes-Benz,G-Class G 550 4MATIC,2021,76100,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$130,000",416.0,4.0,V8
1022,Lexus,RX 350 RX 350 F SPORT Handling,2022,14330,Gasoline,3.5 Liter DOHC,Automatic,Black,Red,None reported,No,"$54,998",295.0,3.5,V6
1023,BMW,750 i xDrive,2019,41906,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,White,At least 1 accident or damage reported,Yes,"$45,999",445.0,4.4,V8
1024,Chevrolet,Camaro 2SS,2016,164000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Red,None reported,Yes,"$21,500",455.0,6.2,V8
1025,Ford,Fusion Hybrid SE,2013,161933,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic,Blue,Charcoal Black,None reported,Yes,"$7,945",195.0,2.0,I4
1026,Hyundai,Santa Cruz 2.5T Limited,2022,22829,Gasoline,2.5L I4 16V PDI DOHC Turbo,Automatic,Hampton Gray,Black,None reported,No,"$34,580",281.0,2.5,I4
1027,Lexus,RX 350 F Sport,2023,5483,Gasoline,2.4L I4 16V PDI DOHC Turbo,Automatic,Ultra White,Black,None reported,No,"$59,950",275.0,2.4,I4
1028,Land,Rover Range Rover Evoque S,2020,46891,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,"$31,000",246.0,2.0,I4
1029,Chevrolet,Suburban LT,2019,72000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,"$39,000",355.0,5.3,V8
1030,Porsche,718 Spyder Base,2020,3400,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,Yes,"$129,900",414.0,4.0,Flat 6
1031,Chevrolet,Camaro 1LT,2021,18000,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$30,000",335.0,3.6,V6
1032,Jeep,Gladiator Freedom,2021,30630,Gasoline,3.6 Liter,Automatic,Hydro Blue Pearlcoat,Black,None reported,No,"$39,998",285.0,3.6,V6
1033,Toyota,Tacoma Double Cab,2007,24985,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Silver,not defined,No,"$33,580",236.0,4.0,V6
1034,GMC,Yukon Denali Ultimate,2023,9978,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gold,None reported,Yes,"$93,999",420.0,6.2,8 Cylinder
1035,Ford,Shelby GT350R Base,2018,18500,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,Manual,Blue,Black,At least 1 accident or damage reported,Yes,"$77,999",526.0,5.2,8 Cylinder
1036,Cadillac,Escalade Premium Luxury Platinum,2021,72843,Gasoline,6.2L V8 16V GDI OHV,Automatic,Sandstone Metallic,Dark Auburn,None reported,Yes,"$79,990",420.0,6.2,V8
1037,Buick,LaCrosse Base,2017,67500,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,None reported,Yes,"$20,000",310.0,3.6,V6
1038,Tesla,Model X Long Range Plus,2020,43534,not defined,534.0HP Electric Motor Electric Fuel System,Automatic,Black,Black,None reported,Yes,"$65,990",534.0,0.0,Electric
1039,Mercedes-Benz,E-Class E 300 4MATIC,2017,36900,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Beige,None reported,Yes,"$28,500",241.0,2.0,4 Cylinder
1040,Chevrolet,Tahoe LT,2017,61720,E85 Flex Fuel,5.3 Liter,Automatic,Silver,Jet Black,At least 1 accident or damage reported,No,"$39,998",320.0,5.3,V8
1041,Kia,Telluride EX,2022,35938,Gasoline,3.8L V6 24V GDI DOHC,Automatic,Glacial White Pearl,Black,None reported,No,"$43,329",291.0,3.8,V6
1042,Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Midnight Black Metallic,Black,None reported,No,"$63,100",437.0,3.4,V6
1043,Audi,S8 4.0T quattro,2023,4457,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Mythos Black Metallic,Black,None reported,No,"$107,900",563.0,4.0,V8
1044,Nissan,Armada Platinum,2018,108206,Gasoline,5.6 Liter,Automatic,White,Charcoal,At least 1 accident or damage reported,No,"$26,498",390.0,5.6,V8
1045,Land,Rover Discovery HSE,2020,32705,Diesel,3.0 Liter,Automatic,Portofino Blue Metallic,Tan/Ebony/Ebony,None reported,No,"$46,598",355.0,3.0,V6
1046,Kia,Telluride S,2020,74026,Gasoline,3.8L V6 24V GDI DOHC,Automatic,Sangria Red,Black,None reported,No,"$32,913",291.0,3.8,V6
1047,Lexus,GS 350 F Sport,2020,24651,Gasoline,3.5L V6 24V PDI DOHC,Automatic,Ultra White,Black,None reported,No,"$45,950",311.0,3.5,V6
1048,BMW,X6 xDrive40i,2022,13000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Dual Shift,Gray,Orange,None reported,Yes,"$69,000",335.0,3.0,I6
1049,Land,Rover Range Rover P400 SE SWB,2023,11700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Dual Shift,Gray,White,None reported,Yes,"$133,500",395.0,3.0,Straight 6
1050,Chevrolet,Silverado 3500 High Country,2015,77500,Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,Automatic,Black,Brown,None reported,Yes,"$54,000",397.0,6.6,8 Cylinder
1051,Maserati,Quattroporte Sport GT,2007,82000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Black,Black,At least 1 accident or damage reported,Yes,"$7,999",394.0,4.2,8 Cylinder
1052,Dodge,Viper GTC,2017,1389,Gasoline,645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,Yes,"$489,995",645.0,8.4,10 Cylinder
1053,Ford,Expedition Limited,2021,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Magnetic Metallic,Ebony,None reported,No,"$55,329",400.0,3.5,V6
1054,Mazda,Mazda6 i Grand Touring,2016,83100,not defined,–,Automatic,White,White,None reported,Yes,"$17,800",184.0,2.5,I4
1055,Kia,Optima LX,2019,62660,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$16,500",185.0,2.4,I4
1056,Land,Rover Range Rover Sport SVR,2018,56006,Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Dual Shift,Silver,White,None reported,Yes,"$59,000",575.0,5.0,V8
1057,Lincoln,Town Car Base,2004,27600,Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,White,None reported,Yes,"$14,900",239.0,4.6,V8
1058,Honda,Civic Si,2012,47245,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,Yes,"$19,600",201.0,2.4,I4
1059,Lexus,RX 450h Base,2017,73948,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Beige,None reported,Yes,"$31,990",308.0,3.5,V6
1060,RAM,1500 Classic Warlock,2019,36757,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,"$31,953",305.0,3.6,V6
1061,Tesla,Model Y Long Range,2023,4786,not defined,425.0HP Electric Motor Electric Fuel System,Automatic,White,White,None reported,Yes,"$48,000",425.0,0.0,Electric
1062,Audi,RS 3 2.5T,2023,1900,Gasoline,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Dual Shift,Gray,Black,None reported,Yes,"$78,900",401.0,2.5,I5
1063,Hyundai,Genesis Coupe 3.8 R-Spec,2014,52060,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Manual,Black,Black,At least 1 accident or damage reported,Yes,"$15,000",348.0,3.8,V6
1064,Porsche,Boxster RS 60 Spyder,2008,58000,Gasoline,303.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Manual,Silver,Black,None reported,Yes,"$41,500",303.0,3.4,Flat 6
1065,Ford,F-250 XLT,2010,52246,Diesel,6.4L V8 32V DDI OHV Twin Turbo Diesel,Manual,Tan,Medium Stone,None reported,Yes,"$26,095",350.0,6.4,V8
1066,Kia,Sorento EX,2016,64290,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Snow White Pearl,Satin Black,None reported,No,"$16,999",240.0,2.0,I4
1067,Nissan,370Z Touring,2009,37500,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Manual,Silver,Orange,None reported,Yes,"$21,500",332.0,3.7,V6
1068,Genesis,G70 2.0T,2023,2121,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Red,None reported,Yes,"$40,750",252.0,2.0,I4
1069,Land,Rover Range Rover Sport Supercharged,2013,57000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Dual Shift,White,Beige,None reported,Yes,"$26,000",510.0,5.0,V8
1070,Mercedes-Benz,S-Class S 560 4MATIC,2020,22000,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$69,500",463.0,4.0,V8
1071,Ford,Bronco Wildtrak Advanced,2023,2000,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$66,500",315.0,2.7,V6
1072,RAM,1500 SLT,2018,61802,E85 Flex Fuel,305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,Automatic,Black,Gray,None reported,Yes,"$32,000",305.0,3.6,V6
1073,Dodge,Challenger R/T,2010,73000,not defined,–,Automatic,Black,Black,None reported,Yes,"$17,500",372.0,5.7,V8
1074,Chevrolet,Sonic LT,2013,110000,not defined,–,Automatic,Gray,Black,None reported,Yes,"$7,500",138.0,1.4,I4
1075,Jeep,Grand Cherokee Laredo,2013,106700,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,None reported,Yes,"$13,500",290.0,3.6,V6
1076,Audi,RS 5 4.2,2013,75965,Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,"$35,999",450.0,4.2,V8
1077,Jeep,Grand Cherokee L Overland,2022,31804,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Silver Zynith,Global Black,At least 1 accident or damage reported,Yes,"$48,995",290.0,3.6,V6
1078,Mazda,MX-5 Miata Base,1992,125800,not defined,–,Manual,Red,Black,None reported,Yes,"$11,500",140.0,1.8,I4
1079,Chrysler,Crossfire Limited,2005,116320,Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Red,At least 1 accident or damage reported,Yes,"$6,000",215.0,3.2,V6
1080,Audi,S5 4.2 Premium Plus,2011,156875,Gasoline,354.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Manual,Black,Red,At least 1 accident or damage reported,Yes,"$9,900",354.0,4.2,V8
1081,Tesla,Model X Base,2023,197,not defined,670.0HP Electric Motor Electric Fuel System,Automatic,Blue,Black,None reported,Yes,"$85,000",670.0,0.0,Electric
1082,Cadillac,CT4 Luxury,2020,35200,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,"$28,500",237.0,2.0,I4
1083,Maserati,Ghibli S Q4,2014,76000,Gasoline,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$19,000",404.0,3.0,V6
1084,Jaguar,F-PACE 25t Premium,2019,29000,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,"$34,500",247.0,2.0,I4
1085,BMW,750 i xDrive,2019,33499,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,"$44,495",445.0,4.4,V8
1086,Acura,TLX V6 Advance,2019,25779,Gasoline,3.5L V6 24V GDI SOHC,Automatic,Platinum White Pearl,Ebony,At least 1 accident or damage reported,No,"$30,999",290.0,3.5,V6
1087,GMC,Terrain SLT-1,2015,76296,Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,"$9,500",182.0,2.4,I4
1088,BMW,i3 Base w/Range Extender,2014,29553,not defined,170.0HP 0.65L Electric Motor Electric Fuel System,Automatic,Black,Gray,None reported,Yes,"$12,800",170.0,0.6,Electric Motor
1089,Nissan,Versa 1.8 S,2011,109902,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,"$4,500",122.0,1.8,I4
1090,Mercedes-Benz,C-Class C 300 4MATIC,2019,23083,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,"$33,500",255.0,2.0,I4
1091,Toyota,Matrix XRS,2003,143600,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,Yes,"$4,199",180.0,1.8,I4
1092,RAM,1500 Limited,2021,22000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$54,800",395.0,5.7,V8
1093,Mercedes-Benz,AMG E 53 Base 4MATIC,2022,13000,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Silver,Black,None reported,Yes,"$81,500",429.0,3.0,I6
1094,Audi,A5 2.0T Premium,2018,53000,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Brown,At least 1 accident or damage reported,Yes,"$28,000",252.0,2.0,I4
1095,Lincoln,Navigator Reserve,2019,44741,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Beige,Beige,None reported,Yes,"$52,999",450.0,3.5,V6
1096,Audi,A6 3.2 quattro,2008,202000,Gasoline,255.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,"$5,700",255.0,3.2,V6
1097,Chevrolet,Silverado 1500 LT Crew Cab,2006,215000,Gasoline,345.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$6,995",345.0,6.0,V8
1098,Mercedes-Benz,S-Class S 560,2019,77138,Gasoline,4.0 Liter,Automatic,designo Diamond White,Black,None reported,No,"$49,998",463.0,4.0,V8
1099,Volvo,XC90 T6 Momentum,2018,90641,Gasoline,2.0L I4 16V GDI DOHC,Automatic,White,Amber,None reported,No,"$25,999",316.0,2.0,I4
1100,Toyota,Camry SE,2011,177702,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,"$7,700",179.0,2.5,I4
1101,Mercedes-Benz,Metris Base,2018,58350,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,"$29,497",208.0,2.0,I4
1102,Chevrolet,Camaro 2LT,2010,86170,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,"$17,000",304.0,3.6,V6
1103,Mazda,MX-5 Miata Grand Touring,2012,36568,Gasoline,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Blue,Beige,At least 1 accident or damage reported,Yes,"$20,199",167.0,2.0,I4
1104,Ford,Escape SE,2015,54357,Gasoline,173.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,"$16,250",173.0,1.6,I4
1105,Mercedes-Benz,S-Class S 63 AMG,2015,20394,Gasoline,5.5 Liter,Automatic,Black,Black,At least 1 accident or damage reported,No,"$59,598",536.0,5.5,V8
